,userid,singer
67,008eba7fbe597f0754b617e7ff53f157003086a5,rage against the machine
68,0093e72c75f5a0c36dd47073e104a3ae4ba96cef,depeche mode
69,0093e72c75f5a0c36dd47073e104a3ae4ba96cef,pink floyd
70,0093e72c75f5a0c36dd47073e104a3ae4ba96cef,moby
71,0093e72c75f5a0c36dd47073e104a3ae4ba96cef,röyksopp
72,0093e72c75f5a0c36dd47073e104a3ae4ba96cef,nightmares on wax
73,00a20b9791abd8b29903a8a43e343ae93a98d9fd,t.i.
74,00a20b9791abd8b29903a8a43e343ae93a98d9fd,gnarls barkley
75,00a20b9791abd8b29903a8a43e343ae93a98d9fd,kanye west
76,00a20b9791abd8b29903a8a43e343ae93a98d9fd,outkast
77,00a20b9791abd8b29903a8a43e343ae93a98d9fd,the magnetic fields
78,00a20b9791abd8b29903a8a43e343ae93a98d9fd,the decemberists
79,00a20b9791abd8b29903a8a43e343ae93a98d9fd,the streets
80,00a20b9791abd8b29903a8a43e343ae93a98d9fd,the smiths
81,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,behemoth
82,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,amon amarth
83,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,the haunted
84,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,korpiklaani
85,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,iron maiden
86,00a41bc4ce19c07116b93430e8ccd41984fb2e2d,death cab for cutie
87,00ab5436939e3c6f8b26c197893093436c6dac1a,korpiklaani
88,00ab5436939e3c6f8b26c197893093436c6dac1a,guano apes
89,00ab5436939e3c6f8b26c197893093436c6dac1a,sum 41
90,00ab5436939e3c6f8b26c197893093436c6dac1a,red hot chili peppers
91,00ab5436939e3c6f8b26c197893093436c6dac1a,flogging molly
92,00ab5436939e3c6f8b26c197893093436c6dac1a,linkin park
93,00b551bfba7840bc88af30f684b7de4aa0e54352,ben folds
94,00b551bfba7840bc88af30f684b7de4aa0e54352,andrew bird
95,00b551bfba7840bc88af30f684b7de4aa0e54352,panic at the disco
96,00b551bfba7840bc88af30f684b7de4aa0e54352,damien rice
97,00b551bfba7840bc88af30f684b7de4aa0e54352,jimmy eat world
98,00b7defba4c054dc775c0a2d14a7a9bd258f74a7,koЯn
99,00bfd167f1fb59f8beb4d15c9c8e46b391717b21,placebo
100,00bfd167f1fb59f8beb4d15c9c8e46b391717b21,gorillaz
101,00bfd167f1fb59f8beb4d15c9c8e46b391717b21,abba
102,00cb0a011b2a626372f3bfd8eeeec2bd022ab829,nightwish
103,00cf934c9829e8c824255d203811694cf0ea6803,rise against
104,00cf934c9829e8c824255d203811694cf0ea6803,nickelback
105,00cf934c9829e8c824255d203811694cf0ea6803,celldweller
106,00cf934c9829e8c824255d203811694cf0ea6803,sum 41
107,00cf934c9829e8c824255d203811694cf0ea6803,adema
108,00e050bcdde1ae7a686bfcf04000cadd0ac15ce6,air
109,00e050bcdde1ae7a686bfcf04000cadd0ac15ce6,soundgarden
110,00e384599a94f049639297688f656a50ed31d621,metallica
111,00e384599a94f049639297688f656a50ed31d621,nevermore
112,00e384599a94f049639297688f656a50ed31d621,nile
113,00e905ff46ce2cd844b6a5e06b53cb87e9d91f48,boa
114,00eaf1e508d9078dbd99f9a93f26ccdf41ed78ce,the cure
115,00eaf1e508d9078dbd99f9a93f26ccdf41ed78ce,bring me the horizon
116,00eaf1e508d9078dbd99f9a93f26ccdf41ed78ce,hellogoodbye
117,00eaf1e508d9078dbd99f9a93f26ccdf41ed78ce,the velvet underground
118,00eaf1e508d9078dbd99f9a93f26ccdf41ed78ce,aphex twin
119,00ebbeb7aeb6a169281b687cadabadfe2c61199f,rihanna
120,00ebbeb7aeb6a169281b687cadabadfe2c61199f,millencolin
121,00ebbeb7aeb6a169281b687cadabadfe2c61199f,iron maiden
122,00ebbeb7aeb6a169281b687cadabadfe2c61199f,lady gaga
123,00ebbeb7aeb6a169281b687cadabadfe2c61199f,kanye west
124,00ebbeb7aeb6a169281b687cadabadfe2c61199f,3 doors down
125,00ebbeb7aeb6a169281b687cadabadfe2c61199f,alicia keys
126,00ebbeb7aeb6a169281b687cadabadfe2c61199f,in flames
127,01046b138562c452289247b69d1876c4b82ba41e,koЯn
128,01046b138562c452289247b69d1876c4b82ba41e,reel big fish
129,0104a80a31d821a13e08e24f80dc30c62cd65191,gorillaz
130,0104a80a31d821a13e08e24f80dc30c62cd65191,red hot chili peppers
131,0104a80a31d821a13e08e24f80dc30c62cd65191,static-x
132,0104a80a31d821a13e08e24f80dc30c62cd65191,unkle
133,0104a80a31d821a13e08e24f80dc30c62cd65191,creed
134,0104a80a31d821a13e08e24f80dc30c62cd65191,robbie williams
135,010814a40de24a1dab0debd11eb0f3a415c9b6d4,usher
136,010814a40de24a1dab0debd11eb0f3a415c9b6d4,lupe fiasco
137,010814a40de24a1dab0debd11eb0f3a415c9b6d4,akon
138,010c28178aaa081a37a4b72ec94e2c4e2d1404ce,blind guardian
139,010c28178aaa081a37a4b72ec94e2c4e2d1404ce,jethro tull
140,010c28178aaa081a37a4b72ec94e2c4e2d1404ce,anathema
141,010c28178aaa081a37a4b72ec94e2c4e2d1404ce,in flames
142,010c28178aaa081a37a4b72ec94e2c4e2d1404ce,red hot chili peppers
143,0112937c1bb051f5a5628aeec95b75b8dcc53393,the cranberries
144,0116205a8a4ef031c703c3f6db29efae18cc38b8,death from above 1979
145,0116205a8a4ef031c703c3f6db29efae18cc38b8,n*e*r*d
146,0116205a8a4ef031c703c3f6db29efae18cc38b8,the cure
147,0116205a8a4ef031c703c3f6db29efae18cc38b8,the clash
148,0116205a8a4ef031c703c3f6db29efae18cc38b8,justice
149,0116205a8a4ef031c703c3f6db29efae18cc38b8,cansei de ser sexy
150,011f47c5ed379290addc0f6d7bb492480826b638,parkway drive
151,013c3ac26921ac5b59061fe08c58108617ab4829,rancid
152,0140a79cf4d663016d3d4af790f2977e2550c2f9,andrew bird
153,0140a79cf4d663016d3d4af790f2977e2550c2f9,the starting line
154,0140a79cf4d663016d3d4af790f2977e2550c2f9,flight of the conchords
155,0140a79cf4d663016d3d4af790f2977e2550c2f9,sublime
156,0140a79cf4d663016d3d4af790f2977e2550c2f9,tegan and sara
157,01450571b178e5d37bdbf726d327a8a9bb51d1d4,isis
158,0160d20716c9d06861099b52f47c8396eaeeec8f,the smashing pumpkins
159,0160d20716c9d06861099b52f47c8396eaeeec8f,cradle of filth
160,0181bbeded051f43c68097be87dd41732d2e64a0,guano apes
161,0181bbeded051f43c68097be87dd41732d2e64a0,soundgarden
162,0182da31b3ae12c0023792bbde1f9c28c3bfdbe4,travis
163,0182da31b3ae12c0023792bbde1f9c28c3bfdbe4,evanescence
164,0182da31b3ae12c0023792bbde1f9c28c3bfdbe4,placebo
165,0182da31b3ae12c0023792bbde1f9c28c3bfdbe4,lady gaga
166,0182da31b3ae12c0023792bbde1f9c28c3bfdbe4,keane
167,0189e339ed852d8cb8525d592e3e1a6b986659de,regina spektor
168,019a94fc66b21639132ac30255d218bf0c4e04ab,apulanta
169,019a94fc66b21639132ac30255d218bf0c4e04ab,system of a down
170,019a94fc66b21639132ac30255d218bf0c4e04ab,cmx
171,019a94fc66b21639132ac30255d218bf0c4e04ab,strapping young lad
172,019e179857a21b0cf97ab98c98aa3d230e661d6a,air
173,01aa0d9975f73fb669bd61cd1aa304389345cf4a,death cab for cutie
174,01aa0d9975f73fb669bd61cd1aa304389345cf4a,jack johnson
175,01ac7e4055f0cb6a2d8b905d480ce1a554470417,andrew bird
176,01ac7e4055f0cb6a2d8b905d480ce1a554470417,wilco
177,01ac7e4055f0cb6a2d8b905d480ce1a554470417,the smiths
178,01ae97e2cc42b5479e0ac3c2a424325c32b2fff7,green day
179,01ae97e2cc42b5479e0ac3c2a424325c32b2fff7,ozzy osbourne
180,01ae97e2cc42b5479e0ac3c2a424325c32b2fff7,guns n roses
181,01ae97e2cc42b5479e0ac3c2a424325c32b2fff7,seether
182,01b006ec814473e26b30929188ab8e73b46b0557,timbaland
183,01b006ec814473e26b30929188ab8e73b46b0557,mariah carey
184,01b37eda98682190a892b35771d6fd16303ec4eb,植松伸夫
185,01b37eda98682190a892b35771d6fd16303ec4eb,stars of the lid
186,01b37eda98682190a892b35771d6fd16303ec4eb,zero 7
187,01b37eda98682190a892b35771d6fd16303ec4eb,thomas newman
188,01b409c75609fcd0c86660087d3ee16bd361064b,lostprophets
189,01b409c75609fcd0c86660087d3ee16bd361064b,sum 41
190,01b409c75609fcd0c86660087d3ee16bd361064b,foo fighters
191,01b409c75609fcd0c86660087d3ee16bd361064b,funeral for a friend
192,01b409c75609fcd0c86660087d3ee16bd361064b,the all-american rejects
193,01be2b5b04b985e1380568b65602f26a780e2df8,kalmah
194,01be2b5b04b985e1380568b65602f26a780e2df8,arch enemy
195,01c36bca754022df8976ab8e3effa9392ce0b38d,lostprophets
196,01c36bca754022df8976ab8e3effa9392ce0b38d,system of a down
197,01c3a7748f1c4ba89a41e804e27358a0a6fe3a5e,the jimi hendrix experience
198,01c3a7748f1c4ba89a41e804e27358a0a6fe3a5e,led zeppelin
199,01c3a7748f1c4ba89a41e804e27358a0a6fe3a5e,weezer
200,01c7bbe3c3b79963d6b1eb07aee572b4e70b6af2,bloodhound gang
201,01c7bbe3c3b79963d6b1eb07aee572b4e70b6af2,in flames
202,01c7bbe3c3b79963d6b1eb07aee572b4e70b6af2,the rasmus
203,01cb8c1cab577db66eca9008c736ccb543f2db2f,robbie williams
204,01cf00f5e08c48f9e24f6de0bf67ad7833517b85,lupe fiasco
205,01cf00f5e08c48f9e24f6de0bf67ad7833517b85,notorious b.i.g.
206,01cf00f5e08c48f9e24f6de0bf67ad7833517b85,t.i.
207,01cf00f5e08c48f9e24f6de0bf67ad7833517b85,jack johnson
208,01cf00f5e08c48f9e24f6de0bf67ad7833517b85,johnny cash
209,01dde80c500804eaee78713372e56861d365ecfa,nine inch nails
210,01dde80c500804eaee78713372e56861d365ecfa,pain
211,01dde80c500804eaee78713372e56861d365ecfa,archive
212,01f0d0adf6290aec1df4f4f92c3749dde9470410,håkan hellström
213,01f0d0adf6290aec1df4f4f92c3749dde9470410,elliott smith
214,01f0d0adf6290aec1df4f4f92c3749dde9470410,the strokes
215,01f0d0adf6290aec1df4f4f92c3749dde9470410,kings of convenience
216,01f0d0adf6290aec1df4f4f92c3749dde9470410,placebo
217,01f82dff756eb831e59949ae609d72817194d142,deerhoof
218,01f82dff756eb831e59949ae609d72817194d142,sigur rós
219,01f82dff756eb831e59949ae609d72817194d142,portishead
220,01fc8f9c25b0631020ff81969399cdc749edc816,mewithoutyou
221,021aac19e09edf73b21ec6b846c4e15fd27b0f65,die toten hosen
222,021aac19e09edf73b21ec6b846c4e15fd27b0f65,rise against
223,021f1f3daf24dd4beb40d60b57edeb3120d20fff,snoop dogg
224,021f1f3daf24dd4beb40d60b57edeb3120d20fff,paul van dyk
225,021f1f3daf24dd4beb40d60b57edeb3120d20fff,queen
226,021f1f3daf24dd4beb40d60b57edeb3120d20fff,george michael
227,022ba0d1031ac132e1aa899559e393b33f4445bd,billy talent
228,022ba0d1031ac132e1aa899559e393b33f4445bd,circa survive
229,022ba0d1031ac132e1aa899559e393b33f4445bd,the mars volta
230,022ba0d1031ac132e1aa899559e393b33f4445bd,dream theater
231,022ba0d1031ac132e1aa899559e393b33f4445bd,interpol
232,022ba0d1031ac132e1aa899559e393b33f4445bd,the smashing pumpkins
233,022ba0d1031ac132e1aa899559e393b33f4445bd,bullet for my valentine
234,023a3440fff832c296f179690f2d10729c260eb5,volbeat
235,023a3440fff832c296f179690f2d10729c260eb5,aphex twin
236,023f809094a4e68a9b6615dc6fca4d46eeb13bf2,the veronicas
237,023f809094a4e68a9b6615dc6fca4d46eeb13bf2,hilary duff
238,023f809094a4e68a9b6615dc6fca4d46eeb13bf2,kylie minogue
239,023fc01dea8b83d0daf5967e5cb43a1a5323d227,cocteau twins
240,023fc01dea8b83d0daf5967e5cb43a1a5323d227,sufjan stevens
241,023fc01dea8b83d0daf5967e5cb43a1a5323d227,múm
242,023fc01dea8b83d0daf5967e5cb43a1a5323d227,massive attack
243,023fc01dea8b83d0daf5967e5cb43a1a5323d227,placebo
244,023fc01dea8b83d0daf5967e5cb43a1a5323d227,arctic monkeys
245,024a218c1c7b0516f4831a1cfbba266002142144,dropkick murphys
246,024a218c1c7b0516f4831a1cfbba266002142144,rise against
247,024a218c1c7b0516f4831a1cfbba266002142144,elvis presley
248,024a218c1c7b0516f4831a1cfbba266002142144,me first and the gimme gimmes
249,024a218c1c7b0516f4831a1cfbba266002142144,the white stripes
250,024a218c1c7b0516f4831a1cfbba266002142144,apocalyptica
251,024ede5fcbd86519cbdb6a018c9909ba57fe1cd1,weezer
252,024ede5fcbd86519cbdb6a018c9909ba57fe1cd1,regina spektor
253,024ede5fcbd86519cbdb6a018c9909ba57fe1cd1,death cab for cutie
254,025949b242344031764c05fc6f6418c1d6833017,current 93
255,025949b242344031764c05fc6f6418c1d6833017,tom waits
256,025e476b4e8f4aec3bf263c737b65fd856acd0c2,skillet
257,025e476b4e8f4aec3bf263c737b65fd856acd0c2,mewithoutyou
258,02608dc467f32ee591208e225dcb37ffaded9456,green day
259,02608dc467f32ee591208e225dcb37ffaded9456,limp bizkit
260,0268c4ff8eba994c93fc0e49644bac7b49caa068,serj tankian
261,0268c4ff8eba994c93fc0e49644bac7b49caa068,keane
262,0268c4ff8eba994c93fc0e49644bac7b49caa068,good charlotte
263,026a43666fc845704bbdf9327b79d7adfb757c37,therion
264,027357dd44bb6ad96357d32a270cacb3283284f9,aerosmith
265,02827d5d75cc8d9dfae5ba05095832129b799ab4,linkin park
266,0282913b7058115037ed94807680848990709e0f,u2
267,0282913b7058115037ed94807680848990709e0f,pet shop boys
268,028352343b9c93cc0de9bff1889981cd76133a66,black rebel motorcycle club
269,028352343b9c93cc0de9bff1889981cd76133a66,portishead
270,028352343b9c93cc0de9bff1889981cd76133a66,deerhunter
271,028352343b9c93cc0de9bff1889981cd76133a66,sia
272,028352343b9c93cc0de9bff1889981cd76133a66,regina spektor
273,028b91859a012251da23c3dbfd2215154a789f9f,tegan and sara
274,028b91859a012251da23c3dbfd2215154a789f9f,brand new
275,028b91859a012251da23c3dbfd2215154a789f9f,my chemical romance
276,028b91859a012251da23c3dbfd2215154a789f9f,stars
277,028b91859a012251da23c3dbfd2215154a789f9f,the red jumpsuit apparatus
278,028b91859a012251da23c3dbfd2215154a789f9f,taking back sunday
279,028b91859a012251da23c3dbfd2215154a789f9f,the ataris
280,028cf08fd4c8e1e20394cd4258e533652af73f07,neutral milk hotel
281,028cf08fd4c8e1e20394cd4258e533652af73f07,badly drawn boy
282,028cf08fd4c8e1e20394cd4258e533652af73f07,morrissey
283,02979b69d75ec14728cd8462c3cfbb0b53dcc577,joy division
284,02979b69d75ec14728cd8462c3cfbb0b53dcc577,madvillain
285,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,radiohead
286,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,electric six
287,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,girl talk
288,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,beastie boys
289,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,manowar
290,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,koЯn
291,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,red hot chili peppers
292,0298540c7f0ce125f22f7619fa243c1d5a2b76ed,thom yorke
293,02a095b59d5d808eb7a74ad4a26d4ac2450111dd,pearl jam
294,02a095b59d5d808eb7a74ad4a26d4ac2450111dd,black sabbath
295,02a7efec5d0458d2b9aa6a20b15731471bd7d594,avenged sevenfold
296,02a7efec5d0458d2b9aa6a20b15731471bd7d594,breaking benjamin
297,02a7efec5d0458d2b9aa6a20b15731471bd7d594,hatebreed
298,02a7efec5d0458d2b9aa6a20b15731471bd7d594,bullet for my valentine
299,02a7efec5d0458d2b9aa6a20b15731471bd7d594,comeback kid
300,02a7efec5d0458d2b9aa6a20b15731471bd7d594,tenacious d
301,02a7efec5d0458d2b9aa6a20b15731471bd7d594,lamb of god
302,02a7efec5d0458d2b9aa6a20b15731471bd7d594,from autumn to ashes
303,02a7efec5d0458d2b9aa6a20b15731471bd7d594,converge
304,02a84fa741528fd81045106103bcf2b56340db54,the offspring
305,02a84fa741528fd81045106103bcf2b56340db54,phil collins
306,02aa5b46eed7864dc3ff0c23b565cb6ef3263782,depeche mode
307,02aa5b46eed7864dc3ff0c23b565cb6ef3263782,bon jovi
308,02aa5b46eed7864dc3ff0c23b565cb6ef3263782,t.a.t.u.
309,02b02f9fbf759f1f16ea0a9b92b36086584df203,pearl jam
310,02b02f9fbf759f1f16ea0a9b92b36086584df203,queen
311,02b02f9fbf759f1f16ea0a9b92b36086584df203,the rolling stones
312,02c09d79a920a393becf05f22378ad9eb8f77351,dream theater
313,02c09d79a920a393becf05f22378ad9eb8f77351,植松伸夫
314,02c09d79a920a393becf05f22378ad9eb8f77351,soilwork
315,02c7534e4e4e15d2447bb22973111df630198ecf,david guetta
316,02c7534e4e4e15d2447bb22973111df630198ecf,k.i.z.
317,02c7534e4e4e15d2447bb22973111df630198ecf,[unknown]
318,02cadd893229d6c8bff06350b92f3a3f69d8502e,weezer
319,02cadd893229d6c8bff06350b92f3a3f69d8502e,joe satriani
320,02cadd893229d6c8bff06350b92f3a3f69d8502e,keane
321,02cadd893229d6c8bff06350b92f3a3f69d8502e,incubus
322,02ccf45baa7fe62f0935b8a6a64ff8869a7b0387,backstreet boys
323,02d08ffbed8509dd42bc7df8c69e14b5a04b708c,rise against
324,02d08ffbed8509dd42bc7df8c69e14b5a04b708c,rammstein
325,02d08ffbed8509dd42bc7df8c69e14b5a04b708c,senses fail
326,02d406ba9c76dad85282d4552b0b8b8efa999456,capsule
327,02d406ba9c76dad85282d4552b0b8b8efa999456,perfume
328,02d80938b6d7c88fd723eac4c3fbc77b106c4694,paul simon
329,02e75f1b9131d83db2a5688937fd5d9a93162aee,bad religion
330,02e75f1b9131d83db2a5688937fd5d9a93162aee,anti-flag
331,02e75f1b9131d83db2a5688937fd5d9a93162aee,radiohead
332,02e75f1b9131d83db2a5688937fd5d9a93162aee,phil collins
333,02e75f1b9131d83db2a5688937fd5d9a93162aee,deep purple
334,02eeccf9502709d9d0d34ac99ded328d8201be18,motörhead
335,02eeccf9502709d9d0d34ac99ded328d8201be18,arch enemy
336,02eeccf9502709d9d0d34ac99ded328d8201be18,black sabbath
337,02eeccf9502709d9d0d34ac99ded328d8201be18,mayhem
338,02eeccf9502709d9d0d34ac99ded328d8201be18,kalmah
339,02f48e9a5dd4f4658de7a4ce9ccd6e68bd6ec13b,incubus
340,02ff145757f804736e32d37483c65f207bd2ca88,from autumn to ashes
341,02ff145757f804736e32d37483c65f207bd2ca88,rise against
342,02ff145757f804736e32d37483c65f207bd2ca88,afi
343,02ff145757f804736e32d37483c65f207bd2ca88,hatebreed
344,02ff145757f804736e32d37483c65f207bd2ca88,underoath
345,02ffb44de64504ae546edb65583c59b37b3d741e,dope
346,02ffb44de64504ae546edb65583c59b37b3d741e,three days grace
347,0303ae40210bfb5bcc5d4315567e7de22f077080,l'arc~en~ciel
348,030b70e6467476cd8b57933b04a07f0f45599d8c,blink-182
349,030b70e6467476cd8b57933b04a07f0f45599d8c,the rasmus
350,030c73c8f8ced7ee0a0ee243a7106c2f2b6fdf87,röyksopp
351,030c73c8f8ced7ee0a0ee243a7106c2f2b6fdf87,moby
352,03125e68df022fcea42359d47d30f494f1e7ab85,new found glory
353,03125e68df022fcea42359d47d30f494f1e7ab85,the spill canvas
354,03125e68df022fcea42359d47d30f494f1e7ab85,yellowcard
355,03125e68df022fcea42359d47d30f494f1e7ab85,cursive
356,0318d8bec7e19297cae0de8ac4e3e4f333c90599,stevie wonder
357,0318d8bec7e19297cae0de8ac4e3e4f333c90599,pink floyd
358,0318d8bec7e19297cae0de8ac4e3e4f333c90599,bob marley
359,0318d8bec7e19297cae0de8ac4e3e4f333c90599,primus
360,032e74c629cc369df676e21a06617f7311a4018a,at the drive-in
361,033a3caa87edd9530b17b0cf8e8bd66e76a21cc7,cradle of filth
362,033eea9da94253b40a2d632fa7c223ab33ff5842,beatsteaks
363,033eea9da94253b40a2d632fa7c223ab33ff5842,blink-182
364,033eea9da94253b40a2d632fa7c223ab33ff5842,metallica
365,033eea9da94253b40a2d632fa7c223ab33ff5842,billy talent
366,033eea9da94253b40a2d632fa7c223ab33ff5842,maxïmo park
367,0341d2b9e61bf72080845f99bbcaeec19f631573,the flaming lips
368,0341d2b9e61bf72080845f99bbcaeec19f631573,the chemical brothers
369,0341d2b9e61bf72080845f99bbcaeec19f631573,björk
370,0341d2b9e61bf72080845f99bbcaeec19f631573,underworld
371,0341d2b9e61bf72080845f99bbcaeec19f631573,the cardigans
372,0341d2b9e61bf72080845f99bbcaeec19f631573,the beatles
373,0341d2b9e61bf72080845f99bbcaeec19f631573,blur
374,0349c1d7ea9b400673a1235769e21d3b5043c745,tool
375,0349c1d7ea9b400673a1235769e21d3b5043c745,stereophonics
376,0349c1d7ea9b400673a1235769e21d3b5043c745,nightwish
377,034e097d2768be93762fd26f445bc096d613770a,dio
378,034e097d2768be93762fd26f445bc096d613770a,ac/dc
379,03568248515a21993753c7d9d956b88072ad9207,front line assembly
380,03568248515a21993753c7d9d956b88072ad9207,papa roach
381,0356c0b92b802a7e0616b79cf5207ab3adb58236,koЯn
382,0356c0b92b802a7e0616b79cf5207ab3adb58236,kult
383,0356c0b92b802a7e0616b79cf5207ab3adb58236,limp bizkit
384,0356c0b92b802a7e0616b79cf5207ab3adb58236,fort minor
385,0356c0b92b802a7e0616b79cf5207ab3adb58236,matisyahu
386,0356c0b92b802a7e0616b79cf5207ab3adb58236,portishead
387,035ee28603569b7f1f2e3850b7758a2656f068b1,beastie boys
388,035ee28603569b7f1f2e3850b7758a2656f068b1,[unknown]
389,03644b88b824eba05a1fb51c782b42792f991e16,pearl jam
390,03644b88b824eba05a1fb51c782b42792f991e16,porcupine tree
391,03644b88b824eba05a1fb51c782b42792f991e16,the clash
392,03644b88b824eba05a1fb51c782b42792f991e16,rage against the machine
393,0365cbc4a8cebf05753d8457c0fb35f6837a0769,him
394,03702ed6ee0c4201f75eb32305522f79ffdce90e,die toten hosen
395,03702ed6ee0c4201f75eb32305522f79ffdce90e,beatsteaks
396,03702ed6ee0c4201f75eb32305522f79ffdce90e,children of bodom
397,03702ed6ee0c4201f75eb32305522f79ffdce90e,guano apes
398,03702ed6ee0c4201f75eb32305522f79ffdce90e,farin urlaub
399,03702ed6ee0c4201f75eb32305522f79ffdce90e,kreator
400,0371b5667351022027d7a1704fff8d7e7095a053,papa roach
401,0371b5667351022027d7a1704fff8d7e7095a053,simple plan
402,0371b5667351022027d7a1704fff8d7e7095a053,leona lewis
403,0371b5667351022027d7a1704fff8d7e7095a053,bob dylan
404,0371b5667351022027d7a1704fff8d7e7095a053,maroon 5
405,0371b5667351022027d7a1704fff8d7e7095a053,kt tunstall
406,03783150a59453eecec0b3b48b0e871ef244ab00,kotoko
407,038ae13577a43b2daab37c818957f556780c4763,36 crazyfists
408,038ae13577a43b2daab37c818957f556780c4763,the mars volta
409,038ae13577a43b2daab37c818957f556780c4763,hatebreed
410,03a483e281ac5275a1bb409e00719766cc8dd63b,nine inch nails
